适合BERT聚类的格式总结,Topic,Name,主题词1,主题词2,主题词3,主题词4,主题词5,主题词6,主题词7,主题词8
"游客 驻留 时 长 分布 查询 （ 数据服务 ）   面向 旅游 管理 单位 ，   统计分析 ，   "" 商贸 流通 "" ,   "" 城市 治理 "" ,   "" 文化 旅游 "" ,   "" 金融服务 ""   解决 相关 。 
 游客 驻留 时 长 分布 查询 （ 数据服务 ）   案例 ： 基于 中国电信 大 数据 资源 分析 能力 ， 中国 某某 研究院 多类 大 数据分析 报告 ， ：   1 . 全国 节假日 分析 报告 （ 全国 出游 、 接待 客流 ， 客流 来源 、 过夜 、 游客 画像 等 分析 服务 ）   2 . 月度 主题 游 分析 报告 （ 周末 游 、 都市 游 、 乡村 游 、 周边游 、 自驾游 等 ） ， 不同 主题 下 全国 各省 、 经济区 及 城市 客流 分析 服务   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"籍贯 （ 省份 级别 ） 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 籍贯 （ 省份 级别 ） 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",2,2_数据_人口_城市_国土,数据,人口,城市,国土,分析,空间规划,应用,相关
"入网 年限 分布 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 入网 年限 分布 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"消费 等级 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 消费 等级 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"产业链 及 投融资 数据 （ 数据服务 ）   视野 数科产融 投资 大 数据 平台 拥有 全 国民经济 产业链 及 热门 主题 概念 国民经济 产业链 数据 、 智能化 捕捉 商业 社会 核心 产品 及 服务 库 、 系统 智能 识别 深度 细分 国民经济 细分 产业 、 企业 标签 体系 并 标签 生命周期 管理 。 ，   图像 / 视频 处理 ，   "" 金融服务 ""   解决 相关 。 
 产业链 及 投融资 数据 （ 数据服务 ）   产融 投资 大 数据 平台 拥有 涵盖 、 三板 、 四板 、 私募 融资 、 美股 、 港股 多个 资本 市场 产业 产品 数据 、 企业 经营 数据 、 宏观经济 数据 、 数据 、 政策 舆情 数据 、 地理信息 数据 等 多种不同 类型 数据 。   银行 以 视野 数科 企业 、 产业链 、 投融资 机构 等 多种 数据 为 基准 ， 结合 多年 沉淀 历史 交易 数据 ， 精准 刻画 企业 投融资 机构 画像 ， 为 企业 投融资 机构 搭建 沟通 桥梁 ， 企业 解决 、 经营 过程 中 存在 融资 需求 。   银行 借助 视野 数科产融 投资 大 数据 平台 ， 从 不同 视角 发现 并 抓住 高新科技 背景 成长型 企业 发展 机会 。 这 对 银行 成长性 企业 企业 筛选 、 企业 信息 确认 、 开展 营销 具有 巨大 作用 。 & ; 平台 银行 企业 客户群 建设 对 客户 风险 监测 管理 ， 起到 监测 、 预警 、 防范 化解 企业 经营 过程 中 潜在 风险 作用 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"有娃 占 比 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 有娃 占 比 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"乡村 振兴 视野 （ 数据服务 ）   绘制 乡村 振兴 产业 地图 、 紧扣 战略 客群 梳理 ： 视野 大 数据 技术 + 产融 研究 ，   GIS / 地理信息 分析 ，   "" 商贸 流通 "" ,   "" 现代农业 "" ,   "" 金融服务 ""   解决 相关 。 
 乡村 振兴 视野 （ 数据服务 ）   立足于 金融机构 三农 拓客 、 商机 事件 跟踪 、 涉农 金融 产品 匹配 、 三农 评价 及 营销 管理 等 不同 类型 场景 服务 需求 ， 乡村 振兴 大 数据 平台 助力 某 金融机构 全方位 农村 产业 特点 ， 分析 农户 日常 交易 消费 偏好 ， 符合 当地 农村 需求 金融 产品 ， 满足 当地 农村 地区 人群 多样化 金融服务 需求 。   视野 数科 乡村 振兴 大 数据 平台 ， 以 三农 数据 为 核心 ， 乡村 振兴 战略 深度 融合 助力 某 政府部门 为 加快 基础设施 建设 、 推进 乡村 现代 治理 、 填平 城乡 数字 鸿沟 、 发展 乡村 数字 经济 、 激发 乡村 内生 动力 、 城乡 融合 发展 数据 支撑 。   体现 其 应用 价值 。",7,7_中标_公告_数据服务_信息,中标,公告,数据服务,信息,客户,卫星,渠道,项目
"绿色 金融 视野 （ 数据服务 ）   大 数据 描绘 企业 绿色 发展 信息 、 绿色 产品 服务 创新 ：   企业 金融机构 之间 起 数据库 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 现代农业 "" ,   "" 金融服务 ""   解决 相关 。 
 绿色 金融 视野 （ 数据服务 ）   平台 包含 绿色 金融 产业链 投融资 方 经营 、 产品 、 服务 、 技术 等 信息 ， 将 碎片 化 绿色 低碳 数据系统 归集 并 快速 流转 ， 分别 助力 某市 政府部门 、 某 金融机构 等 加强 战略规划 、 拓客 、 商机 事件 跟踪 、 营销 管理 等 方面 绿色 金融 能力 建设 ， 绿色 产品 服务 创新 ， 经济 绿色 化 转型 目标 。   此 平台 多种 渠道 汇集 披露 企业 绿色 发展 负面 信息 ， 助力 某市 政府部门 绿色 产业 发展 转型 。 绿色 金融 视野 某 银行 做 信用 评估 评级 、 信贷 准入 、 管理 退出 时 丰富 、 可靠 数据 支撑 ， 关注 融资 方在 建设 、 、 经营 中 给 环境 、 社会 带来 危害 及 引发 风险 ， 风险管理 覆盖面 有效性 ， 服务 投资方 差别化 风险管理 措施 ， 增强 其 应对 风险 能力 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"专利 市场 交易价格 估价 （ 数据服务 ）   中国 专利申请 号 （ 限 中国 发明专利 中国 实用新型 专利 ，   统计分析 ，   "" 商贸 流通 "" ,   "" 科技 创新 "" ,   "" 金融服务 ""   解决 相关 。 
 专利 市场 交易价格 估价 （ 数据服务 ）   专利 持有人 转让 专利技术 时 首先 面临 就是 如何 定价 。 特别 高校 科研院所 ， 面对 成千上万 篇 专利 ， 如何 快速 定价 ， 为 转化 价格 谈判 支撑 已经 成为 阻碍 科技成果 转化 工作 难题 。   基于 中国 历史 交易价格 数据库 挂牌 产品 服务 ， 以 客观 数据 为 交易 双方 成本低 ， 效率高 ， 且 能 满足 批量 专利 计算 需求 。   目前 本 服务 已经 服务 于 ： 教育部 科技 发展 研究 中心 、 浙江大学 、 西北工业大学 、 大连理工大学 、 西安电子科技大学 、 上海 技术 交易所 、 浙江 知识产权 交易中心 、 成都 知识产权 交易中心 等 众多 机构 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"热辐射 （ 数据服务 ）   卫星 遥感技术 探测 计算 某 热辐射 变量 ，   统计分析 ，   "" 交通运输 "" ,   "" 绿色 低碳 "" ,   "" 金融服务 ""   解决 相关 。 
 热辐射 （ 数据服务 ）   （ 1 ） 热辐射 来 预测 某 GDP ， 并 发现 预测 GDP 实际 GDP 高度 吻合 。   （ 2 ） 某 券商 公司 投研 报告 中 数据 ， 用以 行业 市场 分析 、 经济 分析 等 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"夜 灯光 （ 数据服务 ）   卫星 遥感技术 探测 计算 夜 灯光 指数 ，   统计分析 ，   "" 交通运输 "" ,   "" 绿色 低碳 "" ,   "" 金融服务 ""   解决 相关 。 
 夜 灯光 （ 数据服务 ）   （ 1 ） 机构 投资者 夜 灯光 数据分析 城市 夜 经济 水平 夜 经济 相关 行业 前景 分析 。   （ 2 ） 夜 灯光 来 预测 某 GDP ， 并 发现 预测 GDP 实际 GDP 高度 吻合 。   （ 3 ） 某 券商 公司 投研 报告 中 数据 ， 用以 行业 市场 分析 、 经济 分析 等 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"TOP10APP 分布 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 TOP10APP 分布 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"碳 排放 （ 数据服务 ）   卫星 遥感技术 探测 计算 某 碳 排放 变量 ，   统计分析 ，   "" 交通运输 "" ,   "" 绿色 低碳 "" ,   "" 金融服务 ""   解决 相关 。 
 碳 排放 （ 数据服务 ）   （ 1 ） 尔特 碳 排放 城市 区域环境 评价 指标 ， 城市 评级 体系 。   （ 2 ） 券商 公司 投研 报告 中 数据 ， 用以 行业 市场 分析 、 经济 分析 等 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"职商 距离 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 职商 距离 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"商住 距离 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 商住 距离 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"职住 距离 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 职住 距离 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"最常去 景区 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 最常去 景区 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",0,0_企业_相关_数据_数据服务,企业,相关,数据,数据服务,应用,信息,体现,价值
"最常去 商圈 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 最常去 商圈 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
"最常去 购物中心 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 最常去 购物中心 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"周末 地 （ 街镇 级别 ） 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 周末 地 （ 街镇 级别 ） 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
"有车 占 比 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 有车 占 比 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
"有房 占 比 查询 （ 数据服务 ）   基于 客户 特定 点位 / ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 有房 占 比 查询 （ 数据服务 ）   某市 某某 某某 局 之前 工作 难以实现 对 某市 全市 节假日 期间 旅游 数据 管理 ， 缺乏 开放式 景区 旅游 客流 数据 ， 这 缺乏 相应 措施 ， 他们 大 数据分析 技术 来 解决 ， 从而 为 某市 旅游 产业 运行 态势 分析 提供数据 支撑 。   就此 ， 翼知 时空 产品 为 某某 局 特定 景区 人流 画像 数据 ， 既 到 某市 全部 电信 用户 ， 又 对于 某市 入市 出市 客流 及其 画像 分析 ， 还 对于 景区 监测 ， 某某 局 对于 某市 节假日 期间 旅游 管理 ， 大大 其 工作效率 ， 并 景区 安全 管控 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"公司 夜 灯光 （ 数据服务 ）   卫星 遥感技术 探测 计算 某 制造业 公司 夜 灯光 指数 ，   统计分析 ，   "" 交通运输 "" ,   "" 金融服务 ""   解决 相关 。 
 公司 夜 灯光 （ 数据服务 ）   （ 1 ） 夜 灯光 指数 来 衡量 制造业 公司 夜间 经营 ， 人员 加班 、 工厂 等 ， 公司 夜 灯光 亮度 销售收入 增长率 之间 有着 显著 正 相关 关系 。   （ 2 ） 某 券商 公司 投研 报告 中 数据 ， 用以 行业 市场 分析 、 经济 分析 等 。   （ 3 ） 某 商场 数据 指标 分析 商场 内部 及其 外部 同行 竞争者 ， 从而 & ; 知己知彼 & ; 下 做出 决策分析 。   （ 4 ） 如 商业银行 数据 指标 去 评估 公司 营运 风险 偿还 能力 ， 从而 其 做出 更好 信贷 决策 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
"公司 碳 排放 （ 数据服务 ）   卫星 遥感技术 探测 计算 某 制造业 公司 碳 排放 变量 ，   统计分析 ，   "" 交通运输 "" ,   "" 绿色 低碳 "" ,   "" 金融服务 ""   解决 相关 。 
 公司 碳 排放 （ 数据服务 ）   碳 排放 指标 ， 来 分析 企业 经营 当中 产生 空气污染 ， 综合 衡量 企业 经营 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
"公司 热辐射 （ 数据服务 ）   卫星 遥感技术 探测 计算 某 制造业 公司 热辐射 变量 ，   统计分析 ，   "" 交通运输 "" ,   "" 绿色 低碳 "" ,   "" 金融服务 ""   解决 相关 。 
 公司 热辐射 （ 数据服务 ）   （ 1 ） 某 券商 公司 投研 报告 中 数据 ， 用以 行业 市场 分析 、 经济 分析 等 。   （ 2 ） 某 商场 数据 指标 分析 商场 内部 及其 外部 同行 竞争者 ， 从而 & ; 知己知彼 & ; 下 做出 决策分析 。   （ 3 ） 如 商业银行 数据 指标 去 评估 公司 营运 风险 偿还 能力 ， 从而 其 做出 更好 信贷 决策 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"九鞅 宏观 指数 系列 （ 数据服务 ）   九鞅 宏观 指数 系列 概述 ： 旨在 对 经济 增长 、 通货膨胀 、 货币 状态 及时 刻画来 更好 地 观测 宏观经济 状态 及 走势 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 九鞅 宏观 指数 系列 （ 数据服务 ）   宏观经济 研究 主体 ， 九鞅 宏观 指数 系列 ， 做 宏观 基本面 即时 跟踪 分析   体现 其 应用 价值 。 
 九鞅 宏观 指数 系列 （ 数据服务 ）   资产 管理机构 、 财富 管理机构 等 ， 九鞅 宏观 指数 系列 ， 做大类 资产 配置 相关 研究 投资 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
"产业 全景 图谱 （ 数据 集 ）   数库 科技 SAM 产业 全景 图谱 数据 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 产业 全景 图谱 （ 数据 集 ）   银行 数字化 领域   某 国有银行   & ;   引入 城市 产业 企业 数据 打造 对公 营销 信息 平台   引入 产业 全景 数据 ， 配套 数据 整合 及 系统 ， 加速 外部 经营 信息 对 营销 支撑 。 以 产业链 数据 、 供应链 数据 、 园区 数据 、 科技 企业 数据 、 私募 投融资 数据 、 舆情 资讯 数据 行内 数据 整合 ， 建设 营销 信息 平台 ， 打造 拓客 指引 、 商机 线索 、 行业 监测 三大 核心 功能 。   1 ） 拓客 指引 ： 产业链 、 供应链 、 园区 信息 等 数据 ， 从 产业链 获客 、 供应链 获客 、 产业园 获客 、 获客 等 各种 维度 ， 为 对公 各 分支机构 管理人员 、 公司 客户经理 、 机构 客户经理 、 零售 客户经理 基于 地理信息 拓客 线索 。   2 ） 商机 线索 ： 企业 图谱 、 资质 、 融资 、 企业 、 专利 、 诉讼 等 数据 ， 丰富 企业 画像 信息 ， 业务人员 即时 追踪 目标 企业 商机 事件 风险 动态 。   3 ） 行业 监测 ： 产业 、 产业政策 、 行业 财务 基准 等 数据 ， 助力 银行 行业 特征 及 当前 发展 现状 ， 为 银行 行业 授信 政策 、 产品 规划 营销 策略 数据分析 支撑 。   & ;   数字化 领域   -   监管部门   数库 科技 协助 华东 某 金融 监管部门 科创 金融服务 平台 建设 ， 为 科创 企业 、 金融机构 监管部门 三位一体 服务 。 汇聚 多维度 数据 ， 数库 科技 协助 企业库 、 专家库 、 产品库 、 项目 库 、 机构 库 ， 优质 企业 智能 筛选 、 战新 产业 、 专家 智库 汇集 、 优质 项目 挖掘 、 投资 机构 匹配 等 功能 。 ， 企业 评价 模型 结合 长三角 全量 企业库 ， 对 企业 分层 内外 网 联动 。 汇聚 科创 相关 政策 、 、 舆情 等 信息 ， 为 产融 培育 全面 优质服务 。   -   政府 单位   数库 科技 协助 某 政府 经信 部门 对 先进 制造业 4 个 领域 产业链 、 产业 网 发展 现状 详尽 产业 数据分析 服务 ， 对 高端 装备 、 新一代 信息技术 、 生物医药 人工智能 产业 网 现状 ， 产业 完备 度 ， 产业 稳定性 、 产业 环节 、 企业 等 内容 深度 ， 向 政府部门 提出 完善 产业 网 、 产业链 思路 建议 。   & ;   该项 目的 该 制造业 提质 增效 ， 协助 奠定 其 自身 发展 战略 竞争 优势 。 该 项目 & ; 由点 及面 & ; 地 该 地区 加快 发展 新兴产业 ， 努力 培养 经济 增长 新 动能 ， 坚持 经贸 全球化 、 创新 自主化 发展趋势 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
"智己 原石谷 （ 数据服务 ）   以 区块 链为 底层 ，   数据处理 ，   "" 交通运输 "" ,   "" 工业 制造 ""   解决 相关 。 
 智己 原石谷 （ 数据服务 ）   上海 智己 我 汽车 科技 有限公司 价值 确权 数据 ， 对 用户 授权 行驶 数据 贡献 执行 价值 确认 并 回馈 ， 行驶 里程 越 多 ， 贡献 数据 越 多 ， 获得 原石 掉落 机会 越大 ， 并 使 其 & ; 原石 & ; 兑换 软硬件 、 智享 服务 、 限定 精品 、 数字 藏品 限定 体验 等 。   体现 其 应用 价值 。",14,14_某市_某某_景区_标准,某市,某某,景区,标准,旅游,宏观,产业,九鞅
