适合BERT聚类的格式总结,Topic,Name,主题词1,主题词2,主题词3
"商圈业态分布（数据服务）提供 千里目商圈信息覆盖全国1.5万+商圈数据，通过 GIS/地理信息分析，在 ""交通运输"", ""商贸流通"", ""金融服务"" 解决相关问题。 商圈业态分布（数据服务）在 某零售品牌根据店铺所在商圈区域针对商圈内其他品牌门店、商场、小区、写字楼、学校、医院、交通、客群等信息展开调研，根据调研结果结合自身产品和客群特征制定更合理低成本高盈利的运营方案。 体现其应用价值。",3,3_基于海量的用户基本数据及业务数据_xx保险公司使用该数据产品规划未来的保险产品定价和市场策略_医疗健康_数据服务,基于海量的用户基本数据及业务数据,xx保险公司使用该数据产品规划未来的保险产品定价和市场策略,医疗健康
"信息联系方式查询（数据服务）提供 查询企业的基本信息，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 信息联系方式查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"手机号码换机频次查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""城市治理"", ""金融服务"" 解决相关问题。 手机号码换机频次查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"信息主要人员查询（数据服务）提供 查询企业的基本信息，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 信息主要人员查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"APP使用查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 APP使用查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"企业名称模糊搜索（数据服务）提供 模糊查询企业名称列表，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 企业名称模糊搜索（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"企业年报查询（数据服务）提供 查询企业的年报信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 企业年报查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"有色金属综合数据查询（数据服务）提供 钢联数据智能版-有色金属板块覆盖铜、铝、铅、锌、锡、镁、稀土、贵金属、小金属等九个大类；涉及各个品种产量、销量、运量、库存、价格、指数、进出口、物流、Mysteel调研等指标39984条。，通过 数据处理，在 ""商贸流通"", ""工业制造"", ""金融服务"" 解决相关问题。 有色金属综合数据查询（数据服务）在 场景一：大宗商品现货市场贸易、场内外金融衍生品市场合约研究，被行业研究人员广泛参考。除国内现货交易，上海钢联调研数据也被国际市场研究充分应用。 场景二：上中下游企业经营风险控制的参考依据。产业客户、金融机构及投资机构以上海钢联调研数据作为企业采销考核的标准并依据上海钢联提供的多维度数据作为企业策略制定、风险控制的关键指标。 场景三：国家与行业协会进行宏观调整及行业监测的依据。上海钢联被多个国家部委授予合作单位称号，为政府或行业协会开展宏观调控及产业运行检测提供数据支持与决策参考。 体现其应用价值。",3,3_基于海量的用户基本数据及业务数据_xx保险公司使用该数据产品规划未来的保险产品定价和市场策略_医疗健康_数据服务,基于海量的用户基本数据及业务数据,xx保险公司使用该数据产品规划未来的保险产品定价和市场策略,医疗健康
"实际控制人查询（数据服务）提供 查询企业的实际控制人，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 实际控制人查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"企业业务查询（数据服务）提供 查询企业产品业务，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 企业业务查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"招投标信息查询（数据服务）提供 通过公司名称获企业招投标信息，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 招投标信息查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"最终受益人查询（数据服务）提供 企业的最终受益人，通过 数据处理，在 ""金融服务"" 解决相关问题。 最终受益人查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"人员所有公司查询（数据服务）提供 查询人员所有关联公司，通过 数据处理，在 ""金融服务"" 解决相关问题。 人员所有公司查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"商标信息查询（数据服务）提供 通过商标名称、注册号、申请人、商标分类等方式，通过 机器学习建模，在 ""商贸流通"", ""金融服务"" 解决相关问题。 商标信息查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"税务评级查询（数据服务）提供 查询企业税务评级信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 税务评级查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"性别年龄信息查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 性别年龄信息查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"专利信息查询（数据服务）提供 查询企业的专利信息，通过 数据处理，在 ""商贸流通"", ""科技创新"", ""金融服务"" 解决相关问题。 专利信息查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"位置学校配套信息（数据服务）提供 千里目位置信息覆盖全国1.5亿+POI地理位置画像，通过 GIS/地理信息分析，在 ""交通运输"", ""商贸流通"", ""金融服务"" 解决相关问题。 位置学校配套信息（数据服务）在 某企业利用周边配套资源、业态分布、客群分析等时空大数据和人工智能技术实现一键选址，辅助企业决策分析。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"是否实名核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 是否实名核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"资质证书查询（数据服务）提供 通过公司名称或ID获取企业资质证书信息，通过 数据处理，在 ""科技创新"", ""金融服务"" 解决相关问题。 资质证书查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"最短路径发现查询（数据服务）提供 查询2家企业的最短关联关系，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 最短路径发现查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"二次放号核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 二次放号核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"手机号入网时长核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 手机号入网时长核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"对外实际控制查询（数据服务）提供 查询企业的实际控制企业，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 对外实际控制查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"手机号码在网状态查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""交通运输"", ""城市治理"", ""金融服务"" 解决相关问题。 手机号码在网状态查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"按区搜索企业查询（数据服务）提供 按地区模糊查询企业列表，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 按区搜索企业查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",51,51_提升了保险公司的风险防范能力_保险公司通过网约车核验接口对投保车辆的情况进行多维度的评估_助力反欺诈工作_并将评估结果转化应用于投保车辆的评分模型中,提升了保险公司的风险防范能力,保险公司通过网约车核验接口对投保车辆的情况进行多维度的评估,助力反欺诈工作
"二三要素多元核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 二三要素多元核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"证件号与手机号核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 证件号与手机号核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"姓名与手机号核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 姓名与手机号核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"三要素日更核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""交通运输"", ""城市治理"", ""金融服务"" 解决相关问题。 三要素日更核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"终端型号信息查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 终端型号信息查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"终端品牌信息查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 终端品牌信息查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"企业股权穿透查询（数据服务）提供 穿透获取企业股权情况，通过 数据处理，在 ""金融服务"" 解决相关问题。 企业股权穿透查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"工商变更记录查询（数据服务）提供 查询企业的工商变更记录，通过 数据处理，在 ""商贸流通"", ""金融服务"" 解决相关问题。 工商变更记录查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"欠税公告查询（数据服务）提供 查询企业的欠税税种，通过 数据处理，在 ""金融服务"" 解决相关问题。 欠税公告查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"失信人查询（数据服务）提供 查询人员失信被执行信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 失信人查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"法院公告查询（数据服务）提供 查询企业法院公告，通过 数据处理，在 ""金融服务"" 解决相关问题。 法院公告查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"门店商业配套信息（数据服务）提供 千里目门店信息覆盖全国800万+门店数据，通过 GIS/地理信息分析，在 ""交通运输"", ""商贸流通"", ""金融服务"" 解决相关问题。 门店商业配套信息（数据服务）在 某企业通过多维度线下门店数据，帮助企业通过门店数据分析了解门店发展趋势，洞察周边门店和同类型门店发展现状，方便及时调整门店运营策略提高门店销量。 体现其应用价值。",3,3_基于海量的用户基本数据及业务数据_xx保险公司使用该数据产品规划未来的保险产品定价和市场策略_医疗健康_数据服务,基于海量的用户基本数据及业务数据,xx保险公司使用该数据产品规划未来的保险产品定价和市场策略,医疗健康
"欠费信息核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 欠费信息核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"国际用户识别码核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 图像/视频处理，在 ""金融服务"" 解决相关问题。 国际用户识别码核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"严重违法查询（数据服务）提供 查询企业的严重违法信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 严重违法查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"手机异常天数次数查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 手机异常天数次数查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",-1,-1_nbsp_数据应用_数据服务_通过,nbsp,数据应用,数据服务
"名下手机号数量查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 名下手机号数量查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"司法协助详情查询（数据服务）提供 查询人员/企业司法协助信息详情，通过 数据处理，在 ""金融服务"" 解决相关问题。 司法协助详情查询（数据服务）在 金融公司中小企业贷的客户贷前、贷中、贷后系统需要基础底层数据。 某金融公司，通过全维度批量下载企业全维度报告，对目标企业的经营状况进行全方位了解分析。 同时购入定制数据导出服务，随时随地查询企业失信和违规记录。某知名银行通过对B端 网页监控API的批量购买，用来对申贷企业的关系关系调查，从而大大减少了放贷风险。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"开通销号信息查询（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 开通销号信息查询（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
"手机卡类型核验（数据服务）提供 基于客户输入的用户手机号等信息，通过 数据处理，在 ""金融服务"" 解决相关问题。 手机卡类型核验（数据服务）在 已服务中国70余家办公室、银行等客户，针对金融大数据主要适用金融行业风险防控场景，针对金融行业贷款、投保业务中人员信息不对称的问题，覆盖银行、保险业务事前核验预警、事中查询评估、事后监测评分全流程场景。 体现其应用价值。",66,66_在用户申请开户_保险等企业客户通过使用码号认证服务_数据核验服务_性别核验,在用户申请开户,保险等企业客户通过使用码号认证服务,数据核验服务
